"project","num_forks","num_files","project_age","num_stars","ratio_old_volunteers","fork_entropy","num_integrated_commits","num_forks_rq2","num_files_rq2","ratio_old_volunteers_rq2","ratio_prs_with_tests","ratio_prs_with_hot_files","fork_entropy_rq2","num_closed_prs","ratio_merged_prs","num_bug_report_issues"
"angular/angular.js",97,313,1606,25484,0,0.247313338665146,28,82,141,0,0.329787234042553,0.978723404255319,0.351688246647032,89,0,59
"angular/angular.js",78,357,1636,26618,0,0.289889016287329,16,55,97,0,0.389830508474576,0.949152542372881,0.440553519560478,57,0,70
"angular/angular.js",84,189,1667,27787,0,0.348765207272806,27,68,513,0,0.228915662650602,0.927710843373494,0.19235618923077,78,0,67
"angular/angular.js",71,376,1698,29080,0,0.189795894419161,11,65,442,0,0.191780821917808,0.986301369863014,0.179554554320264,72,0.0138888888888889,70
"angular/angular.js",97,726,1728,30100,0,0.292408932670506,62,81,589,0,0.385416666666667,1,0.232656028229972,92,0,81
"angular/angular.js",81,600,1759,31546,0,0.229101530211777,26,69,95,0,0.272727272727273,0.954545454545455,0.424247645592974,85,0,81
"angular/angular.js",83,157,1789,32791,0,0.331308242726052,27,62,73,0,0.302631578947368,0.947368421052632,0.438966157144357,74,0,51
"angular/angular.js",69,427,1820,34223,0,0.249268894851428,14,45,139,0,0.294117647058824,0.901960784313726,0.373619975980302,51,0,39
"angular/angular.js",62,694,1851,35546,0,0.226710270262749,5,43,106,0,0.276595744680851,0.936170212765957,0.333286082717865,46,0,52
"angular/angular.js",53,344,1879,36630,0,0.18000455367719,8,34,40,0,0.256410256410256,0.897435897435897,0.466840521602339,33,0,49
"angular/angular.js",57,152,1910,37919,0,0.194941155194317,7,44,53,0,0.260869565217391,0.891304347826087,0.35729575080994,46,0,61
"angular/angular.js",52,58,1940,39211,0,0.408050045608502,6,38,421,0,0.184210526315789,0.947368421052632,0.127128143933976,36,0,39
"angular/angular.js",63,438,1971,40420,0,0.249767327627666,18,36,48,0,0.289473684210526,0.894736842105263,0.490500209415897,38,0,47
"angular/angular.js",46,655,2001,41372,0,0.18393410724682,13,26,97,0,0.314285714285714,0.857142857142857,0.351746854919621,35,0,33
"angular/angular.js",62,340,2032,41388,0,0.187589177010619,10,39,50,0,0.219512195121951,0.926829268292683,0.447285096340849,37,0,34
"angular/angular.js",54,314,2063,41413,0,0.209435458233005,11,39,41,0,0.19047619047619,0.833333333333333,0.486332588133161,40,0,36
"angular/angular.js",47,335,2093,41433,0,0.308763407929226,9,39,57,0,0.214285714285714,0.904761904761905,0.412586492647504,40,0,29
"angular/angular.js",37,57,2124,41453,0,0.554057305714374,14,25,378,0,0.185185185185185,0.851851851851852,0.2733954375332,25,0,33
"angular/angular.js",42,70,2154,41468,0,0.438025060973246,17,34,64,0,0.333333333333333,0.857142857142857,0.404572184958152,38,0,33
"angular/angular.js",30,327,2185,41489,0,0.382408095550672,9,18,34,0,0.19047619047619,0.761904761904762,0.616356002633022,21,0,29
"angular/angular.js",56,612,2216,41509,0,0.294434648702484,25,41,364,0,0.340425531914894,0.893617021276596,0.292681171749197,45,0,45
"angular/angular.js",50,417,2245,41525,0,0.348807884150401,11,28,567,0,0.354838709677419,0.935483870967742,0.358114482104289,30,0,38
"angular/angular.js",53,253,2276,41547,0,0.266670641716256,13,31,28,0,0.0882352941176471,0.941176470588235,0.40026206366642,33,0.0303030303030303,28
"angular/angular.js",46,353,2306,41560,0,0.313620073546843,16,23,27,0,0.24,1,0.464088620596782,25,0,31
"angular/angular.js",18,253,2337,41712,0,0.433100638801625,16,14,99,0,0.428571428571429,1,0.540121672406336,12,0.0833333333333333,19
"angular/angular.js",12,34,2367,42616,0,0.807438213914486,3,4,12,0,0.5,1,0.72961337561998,4,0,20
"angular/angular.js",34,350,2398,43422,0,0.214693498485805,14,17,226,0,0.222222222222222,0.555555555555556,0.246963389218106,17,0.117647058823529,12
